1-Phosphatidylinositol 3-Kinase;D8.811.913.696.620.525;D8.811.913.696.620.500
Cajanus;B1.650.388.100.401.94;B1.650.940.800.575.100.401.94
Calamus;B1.650.388.100.93.188;B1.650.940.800.575.100.93.188
Calendula;B1.650.388.100.100.141;B1.650.940.800.575.100.100.141
Calla Plant;B1.650.388.100.85.177;B1.650.940.800.575.100.85.177
Callicarpa;B1.650.388.100.960.144;B1.650.940.800.575.100.960.144
Callilepis;B1.650.388.100.100.154;B1.650.940.800.575.100.100.154
Calluna;B1.650.388.100.343.211;B1.650.940.800.575.100.343.211
Calophyllum;B1.650.388.100.928.249.166;B1.650.940.800.575.100.928.249.166
Calotropis;B1.650.388.100.99.77;B1.650.940.800.575.100.99.77
Calycanthaceae;B1.650.388.100.169;B1.650.940.800.575.100.169
Calystegia;B1.650.388.100.238.249;B1.650.940.800.575.100.238.249
Camassia;B1.650.388.100.610.181;B1.650.940.800.575.100.610.181
Camellia;B1.650.388.100.928.500.500;B1.650.940.800.575.100.928.500.500
Camellia sinensis;B1.650.388.100.928.500.500.500;B1.650.940.800.575.100.928.500.500.500
Campanulaceae;B1.650.388.100.171;B1.650.940.800.575.100.171
Camptotheca;B1.650.388.100.778.188;B1.650.940.800.575.100.778.188
Cananga;B1.650.388.100.65.781;B1.650.940.800.575.100.65.781
Canavalia;B1.650.388.100.401.96;B1.650.940.800.575.100.401.96
Canavan Disease;;C10.228.140.163.100.362.375
Canavan Disease;;C10.228.140.695.625.375
Canavan Disease;;C10.228.518.625.375
Canavan Disease;;C16.320.565.189.362.375
Canavan Disease;;C18.452.132.100.362.375
Canavan Disease;;C18.452.648.189.362.375
Cannabaceae;B1.650.388.100.175;B1.650.940.800.575.100.175
Cannabis;B1.650.388.100.175.500;B1.650.940.800.575.100.175.500
Caplan Syndrome;C21.447.800.340;C24.800.340
Capparaceae;B1.650.388.100.177;B1.650.940.800.575.100.177
Capparis;B1.650.388.100.177.500;B1.650.940.800.575.100.177.500
Caprifoliaceae;B1.650.388.100.180;B1.650.940.800.575.100.180
Capsella;B1.650.388.100.157.244;B1.650.940.800.575.100.157.244
Capsicum;B1.650.388.100.905.145;B1.650.940.800.575.100.905.145
Caragana;B1.650.388.100.401.98;B1.650.940.800.575.100.401.98
Carbon Monoxide Poisoning;C21.613.455.245;C25.723.455.245
Carbon Tetrachloride Poisoning;C21.613.177;C25.723.177
Carbonic Anhydrase IV;;D12.776.395.550.448.160
Carbonic Anhydrase IV;;D12.776.543.484.500.160
Carbonic Anhydrase IV;;D12.776.543.550.418.160
Cardamine;B1.650.388.100.157.255;B1.650.940.800.575.100.157.255
Cardiac Pacing, Artificial;E2.145;E2.342.124
Cardiac-Gated Imaging Techniques;E1.370.350.174;E1.370.350.130.500
Cardiac-Gated Single-Photon Emission Computer-Assisted Tomography;E1.370.350.174.500;E1.370.350.130.500.500
Cardiomyopathy, Alcoholic;C21.739.100.87.250;C25.100.87.250
Carduus;B1.650.388.100.100.168;B1.650.940.800.575.100.100.168
Carex Plant;B1.650.388.100.312.99;B1.650.940.800.575.100.312.99
Carica;B1.650.388.100.192.500;B1.650.940.800.575.100.192.500
Caricaceae;B1.650.388.100.192;B1.650.940.800.575.100.192
Carotid Artery Injuries;C21.866.915.200.200;C26.915.200.200
Carotid Artery, Internal, Dissection;C10.228.140.300.200.353;C10.228.140.300.200.356
Carotid Artery, Internal, Dissection;C14.907.253.123.353;C14.907.253.123.356
Carotid Artery, Internal, Dissection;C21.866.915.200.200.500;C26.915.200.200.500
Carotid-Cavernous Sinus Fistula;C21.866.915.200.200.550;C26.915.200.200.550
Carpal Tunnel Syndrome;C21.866.844.150.206;C26.844.150.206
Carthamus;B1.650.388.100.100.181;B1.650.940.800.575.100.100.181
Carthamus tinctorius;B1.650.388.100.100.181.500;B1.650.940.800.575.100.100.181.500
Carum;B1.650.388.100.75.166;B1.650.940.800.575.100.75.166
Carya;B1.650.388.100.569.249;B1.650.940.800.575.100.569.249
Caryophyllaceae;B1.650.388.100.195;B1.650.940.800.575.100.195
Casearia;B1.650.388.100.437.249;B1.650.940.800.575.100.437.249
Casimiroa;B1.650.388.100.875.155;B1.650.940.800.575.100.875.155
Cassia;B1.650.388.100.401.100;B1.650.940.800.575.100.401.100
Castanospermum;B1.650.388.100.401.112;B1.650.940.800.575.100.401.112
Castor Bean;B1.650.388.100.350.650.300;B1.650.940.800.575.100.350.650.300
Cat's Claw;B1.650.388.100.850.909.500;B1.650.940.800.575.100.850.909.500
Catha;B1.650.388.100.197.155;B1.650.940.800.575.100.197.155
Catharanthus;B1.650.388.100.81.260;B1.650.940.800.575.100.81.260
Cathepsin C;D8.811.277.656.350.350.375;D8.811.277.656.350.350.100
Catheterization, Central Venous;;E4.100.814.529.875
Catheterization, Central Venous;;E4.800.382.875
Catheterization, Peripheral;;E4.100.814.529.937
Catheterization, Peripheral;;E4.800.382.937
Catheterization, Swan-Ganz;;E4.100.814.529.937.165
Catheterization, Swan-Ganz;;E4.800.382.937.165
Catheters, Indwelling;E7.150;E7.132.500
Caulerpa;B1.40.80.300;B1.650.940.150.300
Caulophyllum;B1.650.388.100.125.311;B1.650.940.800.575.100.125.311
CD4 Immunoadhesins;;D12.644.541.500.697.249
Ceanothus;B1.650.388.100.840.111;B1.650.940.800.575.100.840.111
Cecropia Plant;B1.650.388.100.196.188;B1.650.940.800.575.100.196.188
Cecropiaceae;B1.650.388.100.196;B1.650.940.800.575.100.196
Cedrela;B1.650.388.100.715.249;B1.650.940.800.575.100.715.249
Cedrus;B1.650.388.400.122.666.222;B1.650.940.800.575.400.122.666.222
Ceiba;B1.650.388.100.148.875;B1.650.940.800.575.100.148.875
Celastraceae;B1.650.388.100.197;B1.650.940.800.575.100.197
Celastrus;B1.650.388.100.197.199;B1.650.940.800.575.100.197.199
Celosia;B1.650.388.100.37.333;B1.650.940.800.575.100.37.333
Cenchrus;B1.650.388.100.822.151;B1.650.940.800.575.100.822.151
Centaurea;B1.650.388.100.100.188;B1.650.940.800.575.100.100.188
Centaurium;B1.650.388.100.450.188;B1.650.940.800.575.100.450.188
Centella;B1.650.388.100.75.180;B1.650.940.800.575.100.75.180
Central Cord Syndrome;C21.866.819.339;C26.819.339
Cephaelis;B1.650.388.100.850.200;B1.650.940.800.575.100.850.200
Cephalotaxus;B1.650.388.400.122.166;B1.650.940.800.575.400.122.166
Cerebral Hemorrhage, Traumatic;C21.866.260.118.175.300;C26.260.118.175.300
Cerebral Hemorrhage, Traumatic;C21.866.915.300.200.175.300;C26.915.300.200.175.300
Cerebral Hemorrhage, Traumatic;C21.866.915.300.490.150.300;C26.915.300.490.150.300
Cerebral Revascularization;E4.100.814.300;E4.100.814.868.625
Cerebrospinal Fluid Otorrhea;C21.866.260.177;C26.260.177
Cerebrospinal Fluid Otorrhea;C21.866.915.300.250;C26.915.300.250
Cerebrospinal Fluid Rhinorrhea;C21.866.260.207;C26.260.207
Cerebrospinal Fluid Rhinorrhea;C21.866.915.300.300;C26.915.300.300
Cerebrovascular Trauma;C21.866.915.200;C26.915.200
Cestrum;B1.650.388.100.905.166;B1.650.940.800.575.100.905.166
Chamaecrista;B1.650.388.100.401.125;B1.650.940.800.575.100.401.125
Chamaecyparis;B1.650.388.400.122.188.199;B1.650.940.800.575.400.122.188.199
Chamaemelum;B1.650.388.100.100.195.288;B1.650.940.800.575.100.100.195.288
Chamomile;B1.650.388.100.100.195;B1.650.940.800.575.100.100.195
Chara;B1.40.150.150;B1.650.940.800.150.150.150
Characeae;B1.40.150;B1.650.940.800.150.150
Chelidonium;B1.650.388.100.795.249;B1.650.940.800.575.100.795.249
Chenopodiaceae;B1.650.388.100.200;B1.650.940.800.575.100.200
Chenopodium;B1.650.388.100.200.599;B1.650.940.800.575.100.200.599
Chenopodium album;B1.650.388.100.200.599.500;B1.650.940.800.575.100.200.599.500
Chenopodium ambrosioides;B1.650.388.100.200.599.750;B1.650.940.800.575.100.200.599.750
Chenopodium quinoa;B1.650.388.100.200.599.875;B1.650.940.800.575.100.200.599.875
Chicory;B1.650.388.100.100.200;B1.650.940.800.575.100.100.200
Chilblains;C21.866.417.217;C26.417.217
Chive;B1.650.388.100.610.100.149;B1.650.940.800.575.100.610.100.149
Chlamydomonas;B1.40.80.925.344;B1.650.940.150.925.344
Chlamydomonas reinhardtii;B1.40.80.925.344.650;B1.650.940.150.925.344.650
Chlorella;B1.40.80.469;B1.650.940.150.469
Chlorella vulgaris;B1.40.80.469.400;B1.650.940.150.469.400
Chloroguanide;D2.78.370.141.125;D2.78.370.141.710
Chlorthalidone;;D2.455.426.559.389.115.124.500
Chondrus;B1.40.100.150;B1.650.700.150
Chromolaena;B1.650.388.100.100.203;B1.650.940.800.575.100.100.203
Chromosome Breakage;C21.111.161;
Chromosome Deletion;C23.550.210.175;C23.550.210.50.500.500
Chromosome Deletion;G5.365.590.175.177;G5.365.590.175.50.500.500
Chromosome Deletion;;G5.700.131.500.500
Chrysanthemum;B1.650.388.100.100.206;B1.650.940.800.575.100.100.206
Chrysanthemum cinerariifolium;B1.650.388.100.100.206.222;B1.650.940.800.575.100.100.206.222
Chrysobalanaceae;B1.650.388.100.842.110;B1.650.940.800.575.100.842.110
Cicer;B1.650.388.100.401.150;B1.650.940.800.575.100.401.150
Cicuta;B1.650.388.100.75.388.155;B1.650.940.800.575.100.75.388.155
Ciguatera Poisoning;C21.613.415.246;C25.723.415.246
Ciliary Neurotrophic Factor Receptor alpha Subunit;;D12.776.395.550.448.200
Ciliary Neurotrophic Factor Receptor alpha Subunit;;D12.776.543.484.500.200
Ciliary Neurotrophic Factor Receptor alpha Subunit;;D12.776.543.550.418.200
Cimicifuga;B1.650.388.100.838.182;B1.650.940.800.575.100.838.182
Cinchona;B1.650.388.100.850.250;B1.650.940.800.575.100.850.250
Cinnamomum;B1.650.388.100.590.149;B1.650.940.800.575.100.590.149
Cinnamomum aromaticum;B1.650.388.100.590.149.124;B1.650.940.800.575.100.590.149.124
Cinnamomum camphora;B1.650.388.100.590.149.249;B1.650.940.800.575.100.590.149.249
Cinnamomum zeylanicum;B1.650.388.100.590.149.500;B1.650.940.800.575.100.590.149.500
Cirsium;B1.650.388.100.100.227;B1.650.940.800.575.100.100.227
Cissampelos;B1.650.388.100.725.111;B1.650.940.800.575.100.725.111
Cissus;B1.650.388.100.965.272;B1.650.940.800.575.100.965.272
Cistaceae;B1.650.388.100.204;B1.650.940.800.575.100.204
Cistanche;B1.650.388.100.788.500;B1.650.940.800.575.100.788.500
Cistus;B1.650.388.100.204.177;B1.650.940.800.575.100.204.177
Citrullus;B1.650.388.100.300.140;B1.650.940.800.575.100.300.140
Citrus;B1.650.388.100.875.177;B1.650.940.800.575.100.875.177
Citrus aurantiifolia;B1.650.388.100.875.177.77;B1.650.940.800.575.100.875.177.77
Citrus paradisi;B1.650.388.100.875.177.538;B1.650.940.800.575.100.875.177.538
Citrus sinensis;B1.650.388.100.875.177.769;B1.650.940.800.575.100.875.177.769
Clarkia;B1.650.388.100.786.222;B1.650.940.800.575.100.786.222
Clausena;B1.650.388.100.875.216;B1.650.940.800.575.100.875.216
Clematis;B1.650.388.100.838.205;B1.650.940.800.575.100.838.205
Cleome;B1.650.388.100.177.750;B1.650.940.800.575.100.177.750
Clerodendrum;B1.650.388.100.960.155;B1.650.940.800.575.100.960.155
Clethraceae;B1.650.388.100.216;B1.650.940.800.575.100.216
Climacteric;G8.686.785.760.960.249;G8.686.785.880.249
Clinical Nursing Research;;H1.770.644.145.390.234
Clitoria;B1.650.388.100.401.162;B1.650.940.800.575.100.401.162
Clofenapate;D2.241.81.160.140.135.175;D2.241.81.160.700.500.374
Clofenapate;D2.241.81.160.225.187;D2.355.726.305.374
Clofenapate;;D2.455.426.559.389.185.210
Clofenapate;;D2.755.654.305.374
Clofibrate;D2.241.81.160.140.135.193;D2.241.81.160.700.500.500.195
Clofibrate;D2.241.81.160.225.195;D2.355.726.305.500.195
Clofibrate;;D2.755.654.305.500.195
Clofibric Acid;D2.241.81.160.225;D2.241.81.160.700.500.500
Clofibric Acid;;D2.355.726.305.500
Clofibric Acid;;D2.755.654.305.500
Clusia;B1.650.388.100.928.249.249;B1.650.940.800.575.100.928.249.249
Clusiaceae;B1.650.388.100.928.249;B1.650.940.800.575.100.928.249
Cnicus;B1.650.388.100.100.241;B1.650.940.800.575.100.100.241
Cnidium;B1.650.388.100.75.199;B1.650.940.800.575.100.75.199
Coca;B1.650.388.100.346.500;B1.650.940.800.575.100.346.500
Cocaine-Related Disorders;C21.739.300;C25.300
Cocculus;B1.650.388.100.725.124;B1.650.940.800.575.100.725.124
Cochlear Implants;E7.305.250.319.150;E7.305.250.319.381.500.500
Cochlear Implants;;E7.695.202.381.500.500
Cocos;B1.650.388.100.93.211;B1.650.940.800.575.100.93.211
Codonopsis;B1.650.388.100.171.200;B1.650.940.800.575.100.171.200
Coffea;B1.650.388.100.850.275;B1.650.940.800.575.100.850.275
Coix;B1.650.388.100.822.227;B1.650.940.800.575.100.822.227
Cola;B1.650.388.100.915.166;B1.650.940.800.575.100.915.166
Colchicum;B1.650.388.100.610.200;B1.650.940.800.575.100.610.200
Coleus;B1.650.388.100.575.166;B1.650.940.800.575.100.575.166
Colles' Fracture;C21.866.404.562.356;C26.404.562.356
Colocasia;B1.650.388.100.85.199;B1.650.940.800.575.100.85.199
Colubrina;B1.650.388.100.840.133;B1.650.940.800.575.100.840.133
Coma, Post-Head Injury;C21.866.260.222;C26.260.222
Coma, Post-Head Injury;C21.866.915.300.350;C26.915.300.350
Combretaceae;B1.650.388.100.228;B1.650.940.800.575.100.228
Combretum;B1.650.388.100.228.166;B1.650.940.800.575.100.228.166
Comfrey;B1.650.388.100.150.210;B1.650.940.800.575.100.150.210
Commelina;B1.650.388.100.233.222;B1.650.940.800.575.100.233.222
Commelinaceae;B1.650.388.100.233;B1.650.940.800.575.100.233
Commiphora;B1.650.388.100.162.166;B1.650.940.800.575.100.162.166
Community-Based Participatory Research;;H1.770.644.193
Comparative Effectiveness Research;;H1.770.644.145.360.500
Complementarity Determining Regions;;D12.644.541.500.650.500.180
Coniferophyta;B1.650.388.400.122;B1.650.940.800.575.400.122
Conium;B1.650.388.100.75.388.188;B1.650.940.800.575.100.75.388.188
Connaraceae;B1.650.388.100.842.222;B1.650.940.800.575.100.842.222
Continuous Positive Airway Pressure;;E2.41.625.790.259
Contrecoup Injury;C21.866.224;C26.224
Contrecoup Injury;C21.866.260.118.150.249;C26.260.118.150.249
Contrecoup Injury;C21.866.915.300.200.150.249;C26.915.300.200.150.249
Contusions;C21.866.248;C26.248
Contusions;C21.866.974.250;C26.974.250
Convallaria;B1.650.388.100.610.211;B1.650.940.800.575.100.610.211
Convolvulaceae;B1.650.388.100.238;B1.650.940.800.575.100.238
Convolvulus;B1.650.388.100.238.374;B1.650.940.800.575.100.238.374
Conyza;B1.650.388.100.100.244;B1.650.940.800.575.100.100.244
Coproporphyrinogens;D23.767.727.700.250;
Coptis;B1.650.388.100.838.229;B1.650.940.800.575.100.838.229
Corchorus;B1.650.388.100.938.144;B1.650.940.800.575.100.938.144
Cordia;B1.650.388.100.150.327;B1.650.940.800.575.100.150.327
Cordyline;B1.650.388.100.610.222;B1.650.940.800.575.100.610.222
Coreopsis;B1.650.388.100.100.248;B1.650.940.800.575.100.100.248
Coriandrum;B1.650.388.100.75.211;B1.650.940.800.575.100.75.211
Cornaceae;B1.650.388.100.241;B1.650.940.800.575.100.241
Corneal Perforation;C21.866.260.275.250.270.500;C26.260.275.250.270.500
Cornus;B1.650.388.100.241.299;B1.650.940.800.575.100.241.299
Coronary Angiography;;E1.370.350.130.625
Coronary Artery Bypass;;E4.100.814.868.750
Coronary Artery Bypass, Off-Pump;;E4.100.814.868.750.199
Corpse Dismemberment;C21.866.986.111;C26.986.111
Corsiaceae;B1.650.388.100.270;B1.650.940.800.575.100.270
Cortical Synchronization;E1.370.405.245.150;E1.370.376.300.437.500
Cortical Synchronization;;E1.370.405.245.575.500
Cortical Synchronization;;G7.265.337.200.249
Corydalis;B1.650.388.100.443.500;B1.650.940.800.575.100.443.500
Corylus;B1.650.388.100.137.875;B1.650.940.800.575.100.137.875
Costus;B1.650.388.100.975.124;B1.650.940.800.575.100.975.124
Cracked Tooth Syndrome;C21.866.900.750.300;C26.900.750.300
Crambe Plant;B1.650.388.100.157.277;B1.650.940.800.575.100.157.277
Cranial Nerve Injuries;C21.866.260.237;C26.260.237
Cranial Nerve Injuries;C21.866.915.300.400;C26.915.300.400
Craniocerebral Trauma;C21.866.260;C26.260
Craniocerebral Trauma;C21.866.915.300;C26.915.300
Craniosynostoses;;C5.660.207.707.249
Craniosynostoses;;C16.131.621.207.707.249
Crassulaceae;B1.650.388.100.842.249;B1.650.940.800.575.100.842.249
Crataegus;B1.650.388.100.842.500.177;B1.650.940.800.575.100.842.500.177
Craterostigma;B1.650.388.100.892.194;B1.650.940.800.575.100.892.194
Crepis;B1.650.388.100.100.255;B1.650.940.800.575.100.100.255
Crinum;B1.650.388.100.610.233;B1.650.940.800.575.100.610.233
Crocus;B1.650.388.100.549.500;B1.650.940.800.575.100.549.500
Crotalaria;B1.650.388.100.401.175;B1.650.940.800.575.100.401.175
Croton;B1.650.388.100.350.199;B1.650.940.800.575.100.350.199
Crush Syndrome;C21.866.797.240;C26.797.240
Cryoglobulinemia;C15.378.463.835.140;C15.378.463.515.140
Cryptocarya;B1.650.388.100.590.177;B1.650.940.800.575.100.590.177
Cryptolepis;B1.650.388.100.99.99;B1.650.940.800.575.100.99.99
Cryptomeria;B1.650.388.400.122.855.166;B1.650.940.800.575.400.122.855.166
Cryptophyta;B1.40.160;B1.206
Cubital Tunnel Syndrome;C21.866.844.150.957.200;C26.844.150.957.200
Cucumis;B1.650.388.100.300.188;B1.650.940.800.575.100.300.188
Cucumis melo;B1.650.388.100.300.188.444;B1.650.940.800.575.100.300.188.444
Cucumis sativus;B1.650.388.100.300.188.666;B1.650.940.800.575.100.300.188.666
Cucurbita;B1.650.388.100.300.222;B1.650.940.800.575.100.300.222
Cucurbitaceae;B1.650.388.100.300;B1.650.940.800.575.100.300
Cuminum;B1.650.388.100.75.233;B1.650.940.800.575.100.75.233
Cumulative Trauma Disorders;C21.866.844.150;C26.844.150
Cunninghamia;B1.650.388.400.122.855.177;B1.650.940.800.575.400.122.855.177
Cuphea;B1.650.388.100.665.249;B1.650.940.800.575.100.665.249
Cupressaceae;B1.650.388.400.122.188;B1.650.940.800.575.400.122.188
Cupressus;B1.650.388.400.122.188.266;B1.650.940.800.575.400.122.188.266
Curculigo;B1.650.388.100.610.255;B1.650.940.800.575.100.610.255
Curcuma;B1.650.388.100.975.900.166;B1.650.940.800.575.100.975.900.166
Cuscuta;B1.650.388.100.306;B1.650.940.800.575.100.306
Cyamopsis;B1.650.388.100.401.181;B1.650.940.800.575.100.401.181
Cyanophora;B1.40.170;B1.650.232.200
Cycadophyta;B1.650.388.400.186;B1.650.940.800.575.400.186
Cycas;B1.650.388.400.186.199;B1.650.940.800.575.400.186.199
Cyclamen;B1.650.388.100.829.549;B1.650.940.800.575.100.829.549
Cyclea;B1.650.388.100.725.249;B1.650.940.800.575.100.725.249
Cyclopia Plant;B1.650.388.100.401.184;B1.650.940.800.575.100.401.184
Cymbopogon;B1.650.388.100.822.266;B1.650.940.800.575.100.822.266
Cynanchum;B1.650.388.100.99.110;B1.650.940.800.575.100.99.110
Cynara;B1.650.388.100.100.269;B1.650.940.800.575.100.100.269
Cynara scolymus;B1.650.388.100.100.269.500;B1.650.940.800.575.100.100.269.500
Cynodon;B1.650.388.100.822.288;B1.650.940.800.575.100.822.288
Cynomorium;B1.650.388.100.106.500;B1.650.940.800.575.100.106.500
Cyperaceae;B1.650.388.100.312;B1.650.940.800.575.100.312
Cyperus;B1.650.388.100.312.199;B1.650.940.800.575.100.312.199
Cyrtosperma;B1.650.388.100.85.211;B1.650.940.800.575.100.85.211
Cytisus;B1.650.388.100.401.187;B1.650.940.800.575.100.401.187
Cytokine Receptor gp130;;D23.101.100.110.280
Dactylis;B1.650.388.100.822.299;B1.650.940.800.575.100.822.299
Dahlia;B1.650.388.100.100.289;B1.650.940.800.575.100.100.289
Dalbergia;B1.650.388.100.401.190;B1.650.940.800.575.100.401.190
Dandy-Walker Syndrome;C16.614.414.200;
Dangerous Behavior;;F1.145.263
Daphne;B1.650.388.100.932.500;B1.650.940.800.575.100.932.500
Datura;B1.650.388.100.905.188;B1.650.940.800.575.100.905.188
Datura stramonium;B1.650.388.100.905.188.500;B1.650.940.800.575.100.905.188.800
Daucus carota;B1.650.388.100.75.288;B1.650.940.800.575.100.75.288
Decapitation;C21.866.986.224;C26.986.224
Decompression Sickness;C21.866.120.248;C26.120.248
Defibrillators, Implantable;;E7.695.202.175
Delphinium;B1.650.388.100.838.277;B1.650.940.800.575.100.838.277
Delta Rhythm;E1.370.376.300.175;E1.370.376.300.150.875
Delta Rhythm;E1.370.405.245.175;E1.370.405.245.287.875
Delta Rhythm;;G7.265.87.875
Delta Rhythm;;G11.561.127.875
Dementia, Vascular;;C10.228.518.500
Demyelinating Autoimmune Diseases, CNS;;C10.228.140.695.562
Demyelinating Autoimmune Diseases, CNS;;C10.228.518.562
Dendrobium;B1.650.388.100.787.222;B1.650.940.800.575.100.787.222
Dennstaedtiaceae;B1.650.388.250.199;B1.650.940.800.575.250.199
Dental Bonding, Chemically-Cured;E6.95.377;E6.95.850
Dental Research;;H1.770.644.145.124
Denys-Drash Syndrome;C12.706.842.316.627.220;C12.706.316.96.562
Denys-Drash Syndrome;C13.351.875.842.316.627.220;C13.351.875.253.96.562
Denys-Drash Syndrome;C16.131.939.842.316.627.220;C16.131.939.316.96.562
Denys-Drash Syndrome;;C19.391.119.96.562
Dermatitis, Occupational;C21.447.270;C24.270
Derris;B1.650.388.100.401.191;B1.650.940.800.575.100.401.191
Diabetic Ketoacidosis;C18.452.76.176.390;C18.452.76.176.652.500
Dianthus;B1.650.388.100.195.222;B1.650.940.800.575.100.195.222
Diatoms;B1.40.185;B1.750.875
Dictamnus;B1.650.388.100.875.255;B1.650.940.800.575.100.875.255
Diffuse Axonal Injury;C21.866.260.118.300;C26.260.118.300
Diffuse Axonal Injury;C21.866.915.300.200.300;C26.915.300.200.300
Diffuse Cerebral Sclerosis of Schilder;;C10.228.140.695.562.112
Diffuse Cerebral Sclerosis of Schilder;;C10.228.518.562.112
DiGeorge Syndrome;C16.131.300;C5.660.207.103.500
DiGeorge Syndrome;C20.673.340;C14.240.400.21.500
DiGeorge Syndrome;;C14.280.400.44.500
DiGeorge Syndrome;;C15.604.451.249.500
DiGeorge Syndrome;;C16.131.77.19.500
DiGeorge Syndrome;;C16.131.240.400.21.500
DiGeorge Syndrome;;C16.131.260.19.500
DiGeorge Syndrome;;C16.131.482.249.500
DiGeorge Syndrome;;C16.131.621.207.103.500
DiGeorge Syndrome;;C16.320.180.19.500
DiGeorge Syndrome;;C19.642.482.500.500
Digitalis;B1.650.388.100.892.333;B1.650.940.800.575.100.892.333
Digitaria;B1.650.388.100.822.311;B1.650.940.800.575.100.822.311
Dilleniaceae;B1.650.388.100.318;B1.650.940.800.575.100.318
Dioclea;B1.650.388.100.401.192;B1.650.940.800.575.100.401.192
Dioncophyllaceae;B1.650.388.100.321;B1.650.940.800.575.100.321
Dioscorea;B1.650.388.100.325.500;B1.650.940.800.575.100.325.500
Dioscoreaceae;B1.650.388.100.325;B1.650.940.800.575.100.325
Diospyros;B1.650.388.100.333.500;B1.650.940.800.575.100.333.500
Dipeptidyl-Peptidase IV Inhibitors;;D27.505.696.422.500
Dipsacaceae;B1.650.388.100.327;B1.650.940.800.575.100.327
Dipterocarpaceae;B1.650.388.100.928.374;B1.650.940.800.575.100.928.374
Dipteryx;B1.650.388.100.401.194;B1.650.940.800.575.100.401.194
Dislocations;C21.866.289;C26.289
DNA Damage;C21.111;
DNA Gyrase;D8.811.399.403.741.300.500;D8.811.399.403.741.149
DNA Gyrase;;D12.776.97.237
DNA Topoisomerase IV;D8.811.399.403.741.300.750;D8.811.399.403.741.224
DNA Topoisomerase IV;;D12.776.97.256
Dolichos;B1.650.388.100.401.196;B1.650.940.800.575.100.401.196
Dracaena;B1.650.388.100.610.277;B1.650.940.800.575.100.610.277
Drimys;B1.650.388.100.970.199;B1.650.940.800.575.100.970.199
Drosera;B1.650.388.100.329.500;B1.650.940.800.575.100.329.500
Droseraceae;B1.650.388.100.329;B1.650.940.800.575.100.329
Drowning;C21.866.304;C26.304
Drug Eruptions;C21.613.276.505;C25.723.276.505
Drug Toxicity;C21.613.276;C25.723.276
Drug-Induced Liver Injury;C21.613.260;C25.723.260
Drug-Induced Liver Injury, Chronic;C21.613.260.200;C25.723.260.200
Dryopteridaceae;B1.650.388.250.222;B1.650.940.800.575.250.222
Dryopteris;B1.650.388.250.222.222;B1.650.940.800.575.250.222.222
Duboisia;B1.650.388.100.905.202;B1.650.940.800.575.100.905.202
Dyskinesia, Drug-Induced;C21.613.276.612;C25.723.276.612
Dyskinesia, Drug-Induced;C21.613.705.200;C25.723.705.200
Ebenaceae;B1.650.388.100.333;B1.650.940.800.575.100.333
Ecchymosis;;C15.378.100.452
Echinacea;B1.650.388.100.100.310;B1.650.940.800.575.100.100.310
Echinochloa;B1.650.388.100.822.322;B1.650.940.800.575.100.822.322
Echinops Plant;B1.650.388.100.100.317;B1.650.940.800.575.100.100.317
Echium;B1.650.388.100.150.385;B1.650.940.800.575.100.150.385
Echocardiography;;E1.370.350.130.750
Echocardiography, Doppler;;E1.370.350.130.750.220
Echocardiography, Doppler, Color;;E1.370.350.130.750.220.220
Echocardiography, Doppler, Pulsed;;E1.370.350.130.750.220.225
Echocardiography, Four-Dimensional;;E1.370.350.130.750.230.230
Echocardiography, Stress;;E1.370.350.130.750.228
Echocardiography, Three-Dimensional;;E1.370.350.130.750.230
Echocardiography, Transesophageal;;E1.370.350.130.750.235
Eclipta;B1.650.388.100.100.337;B1.650.940.800.575.100.100.337
Ecological Systems, Closed;G16.500.249.240;G16.500.275.157.240
Ecosystem;G16.500.249;G16.500.275.157
Ehlers-Danlos Syndrome;C15.378.463.835.240;C15.378.463.515.240
Eichhornia;B1.650.388.100.826.500;B1.650.940.800.575.100.826.500
Elaeagnaceae;B1.650.388.100.336;B1.650.940.800.575.100.336
Elaeocarpaceae;B1.650.388.100.339;B1.650.940.800.575.100.339
Electric Injuries;C21.866.324;C26.324
Electrodes, Implanted;;E7.695.202
Electrophoresis;G2.149.767.570;
Electrophoresis;G2.842.750.570;
Eleocharis;B1.650.388.100.312.299;B1.650.940.800.575.100.312.299
Elettaria;B1.650.388.100.975.900.333;B1.650.940.800.575.100.975.900.333
Eleusine;B1.650.388.100.822.333;B1.650.940.800.575.100.822.333
Eleutherococcus;B1.650.388.100.87.374;B1.650.940.800.575.100.87.374
Elymus;B1.650.388.100.822.344;B1.650.940.800.575.100.822.344
Embelia;B1.650.388.100.770.533;B1.650.940.800.575.100.770.533
Emulsions;D27.720.280.165.260;
Encephalocele;;C23.300.707.186
Encephalomyelitis, Acute Disseminated;;C10.228.140.695.562.225
Encephalomyelitis, Acute Disseminated;;C10.228.518.562.225
Encephalomyelitis, Autoimmune, Experimental;;C10.228.140.695.562.250
Encephalomyelitis, Autoimmune, Experimental;;C10.228.518.562.250
Endangered Species;G16.500.249.49.250;G16.500.275.157.49.250
Endophthalmitis;C1.252.354.900.350;C1.539.375.265
Endophthalmitis;C1.539.375.354.900.350;C11.294.265
Endophthalmitis;C1.539.375.450.900.350;
Endophthalmitis;C1.703.343.900.350;
Endophthalmitis;C11.294.354.900.350;
Endophthalmitis;C11.294.450.900.350;
Endophthalmitis;C11.941.879.960.380;
