2,3-Diketogulonic Acid;D9.203.811.200;D9.811.200
Corynebacterium pseudotuberculosis;B3.510.24.49.180.160;B3.510.24.49.180.600
Corynebacterium pseudotuberculosis;B3.510.460.400.400.200.160;B3.510.460.400.400.200.600
Corynebacterium pyogenes;B3.510.24.49.180.170;B3.510.24.49.180.625
Corynebacterium pyogenes;B3.510.460.400.400.200.170;B3.510.460.400.400.200.625
Coturnix;B1.150.900.248.801.350;B1.150.900.248.350.650.350
Coumaphos;D2.719.199;D2.705.539.199
Counterimmunoelectrophoresis;;E5.478.605.492.350.350.150
Courtship;G8.520.902.279;G8.520.950.279
CREST Syndrome;C6.405.117.418.204;C6.405.117.119.500.204
Crown Ethers;;D4.345.51.500
Crown Ethers;;D4.345.241.308
Crown-Rump Length;E5.118.90.400;E1.370.600.115.100.250
Crown-Rump Length;;E5.118.510
Crown-Rump Length;;G7.290.100.250
Cryoelectron Microscopy;E1.370.350.510.150;E1.370.350.515.402.150
Curare;D3.132.436.500;D3.132.436.255
Curare;D3.438.473.402.500;D3.438.473.402.255
Cushing Syndrome;C14.907.934.142;C19.53.800.367
Cushing Syndrome;C15.378.463.835.142;
Cushing Syndrome;C19.53.181.367;
Cyanoacrylates;;D5.750.259
Cyclacillin;D2.65.589.875.249;D2.65.589.99.750.249
Cyclamates;D9.818.204;
Cyclic ADP-Ribose;D9.203.408.620.569.70.125.195;D9.408.620.569.70.125.195
Cyclic AMP-Dependent Protein Kinases;;D12.644.360.200.125
Cyclic AMP-Dependent Protein Kinases;;D12.776.476.200.125
Cyclic GMP-Dependent Protein Kinases;;D12.644.360.200.150
Cyclic GMP-Dependent Protein Kinases;;D12.776.476.200.150
Cyclic Nucleotide-Regulated Protein Kinases;;D12.644.360.200
Cyclic Nucleotide-Regulated Protein Kinases;;D12.776.476.200
Cyclin-Dependent Kinases;;D12.644.360.250
Cyclin-Dependent Kinases;;D12.776.476.250
Cyclodextrins;D9.203.698.365.855.400.375;D4.345.103
Cyclodextrins;;D9.698.365.855.400.375
Cycloparaffins;;D4.345.133
Cyclosporine;;D4.345.566.235.300
Cyclosporins;;D4.345.566.235
Cymarine;D9.203.408.180.810.250;D9.408.180.810.250
Cystaphos;D2.719.208;D2.705.539.208
Cytidine Diphosphate Diglycerides;D9.203.408.620.569.200;D9.408.620.569.200
Cytidine Monophosphate N-Acetylneuraminic Acid;D9.203.67.687.668.250;D9.67.687.668.250
Cytidine Monophosphate N-Acetylneuraminic Acid;D9.203.811.589.668.250;D9.811.589.668.250
Cytochalasin B;;D4.345.349.156.370
Cytochalasin D;;D4.345.349.156.450
Cytochalasins;;D4.345.349.156
Cytochrome b6f Complex;;D5.500.562.124
Cytochrome P-450 CYP1A1;D8.811.682.580.170.40.332;D8.811.682.690.708.170.40.332
Cytochrome P-450 CYP1A2;D8.811.682.580.170.40.443;D8.811.682.690.708.170.40.443
Cytochrome P-450 CYP2B1;D8.811.682.580.170.40.499;D8.811.682.690.708.170.40.499
Cytochrome P-450 CYP2D6;D8.811.682.580.170.40.555;D8.811.682.690.708.170.40.555
Cytochrome P-450 CYP2E1;D8.811.682.580.170.40.777;D8.811.682.690.708.170.40.777
Cytochrome P-450 Enzyme System;D8.811.682.580.170;D8.811.682.690.708.170
Cytophotometry;E5.196.712.382.240;E5.196.712.516.600.240
Dactinomycin;;D4.345.566.252
Daptomycin;;D4.345.566.270
Darkness;H1.671.606.288;H1.671.606.552.233
Darkness;;H1.671.768.638.578.233
Data Compression;L1.700.568.110.308.189;L1.224.308.189
Data Compression;L1.700.568.110.800.500;L1.224.800.500
Data Display;L1.700.568.810.210;L1.296
Data Interpretation, Statistical;L1.700.568.110.680.310.380;L1.224.680.310.380
Database Management Systems;L1.700.568.810.280;L1.224.900.280
Databases;;L1.470.750
Databases, Bibliographic;;L1.470.750.500
Databases, Factual;;L1.470.750.750
Databases, Genetic;;L1.470.750.750.325
Databases, Nucleic Acid;;L1.470.750.750.325.630
Databases, Protein;;L1.470.750.750.325.710
Daunorubicin;D4.615.597.50.200;D4.615.562.50.200
Daunorubicin;D9.203.408.51.50.200;D9.408.51.59.200
DEAE-Cellulose;D9.203.698.365.180.247;D9.698.365.180.247
DEAE-Dextran;D9.203.698.365.272.250;D9.698.365.272.250
Deafness;C10.597.751.383.200;C10.597.751.418.341.186
Deafness;C23.888.592.763.309.200;C23.888.592.763.393.341.186
Decision Support Techniques;L1.700.568.110.680.310;L1.224.680.310
Decision Theory;L1.700.568.110.680.310.428;L1.224.680.310.428
Decision Trees;L1.700.568.110.680.310.480;L1.224.680.310.480
Defensins;D12.644.350.200;D12.644.50.200
Defibrillators, Implantable;;E7.296.159.175
Deglutition Disorders;C6.405.117.418.408;C6.405.117.119
Deglutition Disorders;;C9.775.174
Dehydroascorbic Acid;D9.203.811.100.260;D9.811.100.260
Demeclocycline;D4.615.597.900.185;D4.615.562.900.185
Dentinogenesis;G7.553.767.461;G7.574.500.325.377.750.461
Deoxy Sugars;D9.203.254;D9.254
Deoxyglucose;D9.203.254.229;D9.254.229
Deoxyribose;D9.203.254.330;D9.254.330
Depression, Involutional;F3.600.300.300;F3.600.300.375
Dermabrasion;;E2.218.210
Dermatan Sulfate;D9.203.698.373.200.380;D9.698.373.200.380
Deslanoside;D9.203.408.180.261.657.200;D9.408.180.261.657.200
Desmin;;D5.750.78.593.200
Deuteroporphyrins;;D4.345.783.500.280
Dextran Sulfate;D9.203.698.365.272.300;D9.698.365.272.300
Dextrans;D9.203.698.365.272;D5.750.78.562.272
Dextrans;;D9.698.365.272
Dextrins;D9.203.698.365.855.400;D9.698.365.855.400
Diabetes Mellitus, Experimental;C18.452.394.750.49;E5.598.500.374
Diabetes Mellitus, Lipoatrophic;C19.246.280;C18.452.394.750.149.500
Diabetes Mellitus, Lipoatrophic;;C19.246.300.500
Diabetes Mellitus, Type I;C18.452.394.750.99;C18.452.394.750.124
Diabetes, Gestational;C18.452.394.750.362;C18.452.394.750.448
Diabetic Angiopathies;C19.246.312;C19.246.99.500
Diabetic Coma;C19.246.357;C19.246.99.750
Diabetic Foot;C19.246.312.191;C19.246.99.500.191
Diabetic Foot;C19.246.447.250;C19.246.99.937.250
Diabetic Ketoacidosis;C19.246.390;C19.246.99.812
Diabetic Nephropathies;C19.246.402;C19.246.99.875
Diabetic Neuropathies;C19.246.447;C19.246.99.937
Diabetic Retinopathy;C19.246.312.382;C19.246.99.500.382
Dianhydrogalactitol;D9.203.853.400.350;D9.853.400.350
Diatrizoate Meglumine;D9.203.67.342.600.500;D9.67.342.600.500
Diatrizoate Meglumine;D9.203.853.813.550.500;D9.853.813.550.500
Diazinon;D2.719.220;D2.705.539.220
Dibekacin;D9.203.408.51.476.200;D9.408.51.476.200
Dicloxacillin;D2.65.589.875.625.150.205;D2.65.589.99.750.625.150.205
Dietary Carbohydrates;D9.203.301;D9.301
Dietary Sucrose;D9.203.301.325;D9.301.325
Dietary Sucrose;D9.203.698.629.305.770.200;D9.698.629.305.770.200
Dietary Sucrose;D9.818.740.200;
Diffusion Chambers, Culture;E5.200.937.387;E5.200.249.437
Diffusion Magnetic Resonance Imaging;E1.370.350.500.99;E1.370.350.500.150
Diffusion Magnetic Resonance Imaging;E1.370.350.825.500.99;E1.370.350.825.500.150
Digitalis Glycosides;D9.203.408.180.261;D9.408.180.261
Digitonin;D9.203.408.180.261.236;D9.408.180.261.236
Digitoxin;D9.203.408.180.261.336;D9.408.180.261.336
Digoxin;D9.203.408.180.261.436;D9.408.180.261.436
Dihematoporphyrin Ether;;D4.345.783.500.462.400.200
Dihydrostreptomycin Sulfate;D9.203.408.51.885.387;D9.408.51.885.387
Dihydroxyacetone;D9.203.546.465.200;D9.546.465.200
Dihydroxyacetone;D9.203.546.894.200;D9.546.894.200
Dihydroxyacetone Phosphate;D9.203.894.150;D9.894.150
Dimethoate;D2.719.245;D2.705.539.245
Dimethylpolysiloxanes;;D5.750.900.850.150
Diosmin;D3.438.150.266.450.237;D3.438.150.266.450.260.222
Diphosphoglyceric Acids;D9.203.811.366.388;D9.811.366.388
Diplopia;C10.597.622.447.333;
Diplopia;C23.888.592.636.447.333;
Dipyrone;D3.383.694.50.150;D3.383.694.850.77.150
Directed Tissue Donation;N2.421.559.200;N2.421.911.200
Disaccharides;D9.203.698.629.305;D9.698.629.305
Disease Models, Animal;;E5.598.500
Disease Models, Animal;;H1.770.461.395.80
Disease Models, Autoimmune, Nervous System;C10.114.400;C10.114.703
Disease Models, Autoimmune, Nervous System;C20.111.258.270;C20.111.258.625
Disease Models, Autoimmune, Nervous System;;E5.598.500.500
Disease Susceptibility;G7.265.300;G7.290.250
Disulfoton;D2.719.270;D2.705.539.270
Dithioerythritol;D9.203.853.175;D9.853.175
Dithiothreitol;D9.203.853.196;D9.853.196
Diuron;D2.948.511.266;D2.948.684.397
Dogs;B1.150.900.649.147.308;B1.150.900.649.147.153.200
Dolichol Monophosphate Mannose;D9.203.894.680.700.250;D9.894.680.700.250
Dopamine beta-Hydroxylase;D8.811.682.580.292;D8.811.682.690.708.292
Doxorubicin;D4.615.597.50.200.175;D4.615.562.50.200.175
Doxorubicin;D9.203.408.51.50.200.175;D9.408.51.59.200.175
Doxycycline;D4.615.597.900.200;D4.615.562.900.200
Ducks;;B1.150.900.248.50.200
Dust;;D20.350
Dysentery, Amebic;C3.752.700.700.55.407.310;C3.752.700.700.55.328
Eagles;B1.150.900.248.815.150;B1.150.900.248.250.200
Eagles;;B1.150.900.248.815.350.200
Echinomycin;;D4.345.566.325
Echothiophate Iodide;D2.719.341;D2.705.539.341
Eclampsia;C13.703.799.314;C13.703.395.124
Ectogenesis;G7.553.350;G7.574.500.325.89
Educational Technology;I2.903.191;
EF Hand Motifs;G6.184.580.709.600.40.360.240;G6.184.603.790.709.600.40.360.240
eIF-2 Kinase;;D12.644.360.275
eIF-2 Kinase;;D12.776.476.275
Ejaculation;F1.145.802.287;G8.520.84
Ejaculation;G8.520.902.287;
Elastin;;D5.750.78.421
Elastomers;;D5.750.327
Electron Probe Microanalysis;;E1.370.350.515.402.250
Electron Probe Microanalysis;;E5.595.402.250
Electron Transport Complex I;;D5.500.562.249
Electron Transport Complex II;;D5.500.562.750.249
Electron Transport Complex III;;D5.500.562.750.500
Electron Transport Complex IV;;D5.500.562.374
Ellipticines;D3.132.305;D3.132.436.681.333
Ellipticines;;D3.438.473.402.681.333
Emaciation;C23.888.169.354;C23.888.144.243.963.500
Emblems and Insignia;K1.419.255;K1.504.255
Embryo and Fetal Development;;G7.574.500.325
Embryo Implantation;G8.520.175;G8.520.170.104.500
Embryo Implantation, Delayed;G8.520.175.100;G8.520.170.104.500.100
Embryonic Induction;G7.553.196.300;G7.574.500.100.250
Embryonic Induction;;G7.574.500.325.180.750
Embryonic Induction;;G8.520.170.104.750
Emus;B1.150.900.248.818.155;B1.150.900.248.600.200
Enbucrilate;;D5.750.259.341
Encephalitis Virus, California;B4.820.87.150.300;B4.820.87.640.300
Encephalitis Virus, California;B4.909.777.147.150.300;B4.909.777.147.640.300
Encephalomyelitis, Experimental Autoimmune;C10.114.400.300;C10.114.703.300
Encephalomyelitis, Experimental Autoimmune;C20.111.258.270.300;C20.111.258.625.300
Encephalomyelitis, Experimental Autoimmune;;E5.598.500.500.500
Endocardial Fibroelastosis;C14.280.600.281;C14.280.238.281
Endomyocardial Fibrosis;C14.280.600.406;C14.280.238.406
Enoxaparin;D9.203.698.373.400.300.200;D9.698.373.400.300.200
Enviomycin;;D4.345.566.875.250
Epirubicin;D4.615.597.50.200.175.200;D4.615.562.50.200.175.200
Epirubicin;D9.203.408.51.50.200.175.200;D9.408.51.59.200.175.200
Epothilones;;D4.345.349.187
Epoxy Resins;;D5.750.716.822.461
Erythritol;D9.203.853.329;D9.853.329
Erythrityl Tetranitrate;D9.203.853.329.225;D9.853.329.225
Erythromycin;D9.203.408.477.250;D4.345.349.250
Erythromycin;;D9.408.477.250
Erythromycin Estolate;D9.203.408.477.250.250;D4.345.349.250.250
Erythromycin Estolate;;D9.408.477.250.250
Erythromycin Ethylsuccinate;D9.203.408.477.250.260;D4.345.349.250.260
Erythromycin Ethylsuccinate;;D9.408.477.250.260
Escin;D9.203.408.782.250;D9.408.782.250
Esculin;D9.203.408.348.250;D9.408.348.250
Esophageal Achalasia;C6.405.117.418.432;C6.405.117.119.500.432
Esophageal and Gastric Varices;C14.907.489.430.414;
Esophageal Motility Disorders;C6.405.117.418;C6.405.117.119.500
Esophageal Spasm, Diffuse;C6.405.117.418.450;C6.405.117.119.500.450
Ethers, Cyclic;;D4.345.241
Ethylenethiourea;D3.383.374.257;D2.948.898.323
Ethylenethiourea;;D3.383.374.432.500
Etioporphyrins;;D4.345.783.500.340
Etoposide;D9.203.408.348.275;D9.408.348.275
Eukaryotic Initiation Factor-2B;;D12.644.360.325.300.200
Eukaryotic Initiation Factor-2B;;D12.776.476.325.300.200
Eukaryotic Initiation Factor-5;;D12.644.360.325.150.300
Eukaryotic Initiation Factor-5;;D12.776.476.325.150.300
Exhibits;L1.178.147.269;J1.897.280.500.269
Exhibits;;L1.178.820.90.269
Expert Systems;L1.700.568.110.65.190;L1.224.65.190
Extramarital Relations;G8.520.902.295;G8.520.950.295
F-Box Motifs;G6.184.580.709.600.40.205;G6.184.603.790.709.600.40.205
Familial Mediterranean Fever;C10.228.140.617.338;C16.320.306
Familial Mediterranean Fever;;C20.111.375
Fatty Acid Desaturases;D8.811.682.580.392;D8.811.682.690.708.392
Fatty Acid Synthetase Complex;;D5.500.562.437
Feminization;C19.391.301;C23.888.378
Fenitrothion;D2.719.456;D2.705.539.456
Fenthion;D2.719.460;D2.705.539.460
Ferrets;;B1.150.900.649.147.550.350
Ferrichrome;;D4.345.566.380
Fetal Death;N1.224.935.698.302;
Fetal Macrosomia;C18.452.394.750.820.570;C13.703.170.500
Fetal Macrosomia;C19.246.200.250;C13.703.726.570
Fetal Macrosomia;C19.246.820.570;C19.246.99.968
Fetal Macrosomia;;C23.888.144.186.500
Fetal Membranes;;A10.615.284
Fetal Movement;G7.553.370.300;G7.574.500.325.235.374
Fetal Movement;G8.520.170.210;G8.520.170.157.374
Fetal Organ Maturity;G8.520.170.290;G7.574.500.325.235.750
Fetal Organ Maturity;;G7.574.500.325.377.249
Fetal Organ Maturity;;G8.520.170.157.750
Fetal Viability;G7.553.370;G7.574.500.325.235.875
Fetal Viability;G8.520.170.320;G8.520.170.157.875
Fetal Weight;E1.370.600.110.120.300;C23.888.144.300
Fetal Weight;E5.118.90.287.300;E1.370.600.115.100.160.120.300
Fetal Weight;G7.553.481.398.300;E5.118.160.750.300
Fetal Weight;G8.520.170.325;G7.290.100.160.120.300
Fetal Weight;;G7.574.249.314.120.300
Fetal Weight;;G7.574.500.325.235.937
Fetal Weight;;G8.520.170.157.937
Fetoscopy;;E2.467.750
Fibrillar Collagens;;D5.750.78.280.300
Fibrocystic Disease of Breast;C4.182.289;C17.800.90.750
Fibrocystic Disease of Breast;C19.146.378;
Fibroin;D12.776.860.392;D12.776.878.500
Ficoll;D9.203.698.330;D9.698.330
Fishes, Poisonous;;B1.50.286.500
Flavoxate;D3.438.150.266.450.300;D3.438.150.266.450.260.444
Flocculation Tests;;E5.478.605.492.300
Flow Cytometry;E5.196.712.382.240.350;E5.196.712.516.600.240.350
Floxacillin;D2.65.589.875.625.150.250;D2.65.589.99.750.625.150.250
Fludeoxyglucose F 18;D9.203.254.229.500;D9.254.229.500
Fluid Shifts;G7.503;G4.185.379
Fluid Shifts;H1.671.799.96;
Fluorescence;H1.671.768.369;H1.671.606.552.665.500
Fluorescence;;H1.671.768.638.578.665.500
Fluorescence Polarization;E5.196.712.382.390;E5.196.712.516.600.390
Fluorescence Polarization Immunoassay;E5.196.712.382.390.350;E5.196.712.516.600.390.350
Fluorescence Recovery After Photobleaching;E5.196.712.382.393;E5.196.712.516.600.393
Fluorescence Resonance Energy Transfer;E5.196.712.382.676.500;E5.196.712.516.600.676.500
Fluorescent Dyes;;D27.720.470.410.505.500
Fluorocarbon Polymers;;D5.750.395
Fluorometry;E5.196.712.382;E5.196.712.516.600
Fluorophotometry;E5.196.712.382.410;E5.196.712.516.600.410
Fonofos;D2.719.464;D2.705.539.464
Fowl Plague;C22.131.276;C22.131.450
Fowl Plague;;C22.131.728.450
Foxes;B1.150.900.649.147.435;B1.150.900.649.147.153.250
Frameshifting, Ribosomal;G5.310.725.200;G6.535.770.871.200
Framycetin;D9.203.408.51.623.300;D9.408.51.623.300
Fructans;D9.203.698.350;D9.698.350
Fructosamine;D9.203.67.342.300;D9.67.342.300
Fructose;D9.203.546.359.250;D9.546.359.250
Fructose;D9.203.546.465.354;D9.546.465.354
Fructosediphosphates;D9.203.894.417.313.300;D9.894.417.313.300
Fructosediphosphates;D9.203.894.417.592.300;D9.894.417.592.300
Fructosephosphates;D9.203.894.417.313;D9.894.417.313
Fucose;D9.203.254.488;D9.254.488
Fucose;D9.203.546.359.313;D9.546.359.313
Furunculosis;;C22.362.224
Fuzzy Logic;L1.700.568.110.65.250;L1.224.65.250
G(M1) Ganglioside;D9.203.400.410.420.25.475.390;D9.400.410.420.25.475.390
G(M2) Ganglioside;D9.203.400.410.420.25.475.400;D9.400.410.420.25.475.400
G(M3) Ganglioside;D9.203.400.410.420.25.475.510;D9.400.410.420.25.475.510
G0 Phase;G4.335.135.500.300;G4.335.134.500.300
G0 Phase;G7.553.135.500.300;G7.382.374.500.300
G1 Phase;G4.335.135.500.320;G4.335.134.500.320
G1 Phase;G7.553.135.500.320;G7.382.374.500.320
G2 Phase;G4.335.135.500.340;G4.335.134.500.340
G2 Phase;G7.553.135.500.340;G7.382.374.500.340
Galactans;D9.203.698.360;D9.698.360
Galactitol;D9.203.853.400;D9.853.400
Galactolipids;D9.203.400.410.209;D9.400.410.209
Galactorrhea;C19.146.556.439;C17.800.90.937.439
Galactosamine;D9.203.67.342.356;D9.67.342.356
Galactose;D9.203.546.359.377;D9.546.359.377
Galactosephosphates;D9.203.894.417.370;D9.894.417.370
Galactosides;D9.203.408.320;D9.408.320
Galactosylceramides;D9.203.400.410.420.525.200.250.450;D9.400.410.420.525.200.250.450
Galantamine;D3.132.369;D3.132.52.500
Gametogenesis;G7.553.196.650;G7.382.750.650
Ganglia, Invertebrate;;A13.408
Gangliosides;D9.203.400.410.420.25.475;D9.400.410.420.25.475
Gastrinoma;;C4.588.322.421.500.124
Gastrinoma;;C19.344.421.500.124
Gastroesophageal Reflux;C6.405.117.418.484;C6.405.117.119.500.484
Gastroschisis;C23.300.707.249;C6.405.293.249.249
Gastroschisis;;C23.300.707.374.500
Geese;;B1.150.900.248.50.350
Gemfibrozil;;D2.241.81.160.225.396
Genealogy and Heraldry;K1.419.359;K1.504.359
Genome;G14.345.380;
Gentamicins;D9.203.408.51.374;D9.408.51.374
Geographic Information Systems;;L1.470.750.750.462
Gestational Age;G7.553.417;G7.574.500.325.235.968
Gestational Age;G8.520.170.380;G8.520.170.157.968
Gibberellins;;D2.455.849.291.239.500
Ginsenosides;D9.203.408.782.300;D9.408.782.300
Glare;H1.671.606.552.274;H1.671.606.552.333
Glare;;H1.671.768.638.578.333
Glass;;D5.750.400
Glial Fibrillary Acidic Protein;;D5.750.78.593.400
Globosides;D9.203.400.410.420.525.200.425;D9.400.410.420.525.200.425
Glucagonoma;;C4.588.322.421.500.249
Glucagonoma;;C19.344.421.500.249
Glucans;D9.203.698.365;D5.750.78.562
Glucans;;D9.698.365
Glucaric Acid;D9.203.811.295;D9.811.295
Gluconates;D9.203.811.308;D9.811.308
Glucosamine;D9.203.67.342.531;D9.67.342.531
Glucose;D9.203.546.359.448;D9.546.359.448
Glucose-6-Phosphate;D9.203.894.417.448.500;D9.894.417.448.500
Glucosephosphates;D9.203.894.417.448;D9.894.417.448
Glucosides;D9.203.408.348;D9.408.348
Glucosinolates;D9.203.408.348.820.350;D9.408.348.820.350
Glucosinolates;D9.203.408.903.703.350;D9.408.903.703.350
Glucosylceramides;D9.203.400.410.420.525.200.250.490;D9.400.410.420.525.200.250.490
Glucuronates;D9.203.811.922.325.300.400;D9.811.922.325.300.400
Glucuronic Acid;D9.203.811.922.325.300;D9.811.922.325.300
Glucuronic Acids;D9.203.811.922.325;D9.811.922.325
Glucuronides;D9.203.811.922.325.300.400.448;D9.811.922.325.300.400.448
Glyceraldehyde;D9.203.546.894.449;D9.546.894.449
Glyceraldehyde 3-Phosphate;D9.203.546.894.449.450;D9.546.894.449.450
Glyceric Acids;D9.203.811.366;D9.811.366
Glycerol;D9.203.853.421;D9.853.421
Glycerophosphates;D9.203.894.299;D9.894.299
Glycerylphosphorylcholine;D9.203.894.299.449;D9.894.299.449
Glycoconjugates;D9.203.400;D9.400
Glycogen;D9.203.698.365.388;D5.750.78.562.388
Glycogen;;D9.698.365.388
Glycogen Storage Disease Type VII;;C16.320.577.149
Glycogen Synthase Kinase 3;;D12.644.360.300.500
Glycogen Synthase Kinase 3;;D12.776.476.300.500
Glycogen Synthase Kinases;;D12.644.360.300
Glycogen Synthase Kinases;;D12.776.476.300
Glycolipids;D9.203.400.410;D9.400.410
Glycopeptides;D9.203.400.420;D9.400.420
Glycoproteins;D9.203.400.430;D9.400.430
Glycosaminoglycans;D9.203.698.373;D9.698.373
Glycosides;D9.203.408;D9.408
Glycosphingolipids;D9.203.400.410.420;D9.400.410.420
Glycosylphosphatidylinositols;D9.203.400.410.475;D9.400.410.475
Gonadoblastoma;C4.557.465.330.300.350;C4.557.465.420
Gonadoblastoma;;C4.557.475.395
Gorilla gorilla;B1.150.900.649.801.400.650.350;B1.150.900.649.801.400.350.375
Granulosa Cell Tumor;C4.557.475.325;C4.557.475.750.656
Granulosa Cell Tumor;C4.588.945.418.685.446;C19.344.410.398
Granulosa Cell Tumor;C19.344.455.398;
Grateful Med;L1.700.568.810.400;L1.224.900.400
Grave Robbing;K1.419.552.169;K1.504.552.169
Gravidity;G8.520.351;G8.520.769.213
Gravitropism;G7.950.400;G7.574.249.845.400
Growth;G7.553.481;G7.574.249
GTP-Binding Protein alpha Subunits;;D12.644.360.375.100
GTP-Binding Protein alpha Subunits;;D12.776.476.375.100
GTP-Binding Protein alpha Subunits, G12-G13;;D12.644.360.375.100.100
GTP-Binding Protein alpha Subunits, G12-G13;;D12.776.476.375.100.100
GTP-Binding Protein alpha Subunits, Gi-Go;;D12.644.360.375.100.200
GTP-Binding Protein alpha Subunits, Gi-Go;;D12.776.476.375.100.200
GTP-Binding Protein alpha Subunits, Gq-G11;;D12.644.360.375.100.300
GTP-Binding Protein alpha Subunits, Gq-G11;;D12.776.476.375.100.300
GTP-Binding Protein alpha Subunits, Gs;;D12.644.360.375.100.400
GTP-Binding Protein alpha Subunits, Gs;;D12.776.476.375.100.400
GTP-Binding Protein beta Subunits;;D12.644.360.375.520
GTP-Binding Protein beta Subunits;;D12.776.476.375.520
GTP-Binding Protein gamma Subunits;;D12.644.360.375.730
GTP-Binding Protein gamma Subunits;;D12.776.476.375.730
GTP-Binding Protein Regulators;;D12.644.360.325
GTP-Binding Protein Regulators;;D12.776.476.325
GTPase-Activating Proteins;;D12.644.360.325.150
GTPase-Activating Proteins;;D12.776.476.325.150
Guanine Nucleotide Dissociation Inhibitors;;D12.644.360.325.225
Guanine Nucleotide Dissociation Inhibitors;;D12.776.476.325.225
Guanine Nucleotide Exchange Factors;;D12.644.360.325.300
Guanine Nucleotide Exchange Factors;;D12.776.476.325.300
Guanine Nucleotide-Releasing Factor 2;;D12.644.360.325.300.300
Guanine Nucleotide-Releasing Factor 2;;D12.776.476.325.300.300
Guanosine Diphosphate Fucose;D9.203.408.620.569.400.410;D9.408.620.569.400.410
Guanosine Diphosphate Mannose;D9.203.408.620.569.400.500;D9.408.620.569.400.500
Guanosine Diphosphate Sugars;D9.203.408.620.569.400;D9.408.620.569.400
Guanylate Cyclase;;D12.644.360.350
Guanylate Cyclase;;D12.776.476.350
Guided Tissue Regeneration;;E4.680.300.500
Gum Arabic;D9.203.698.380;D5.750.78.577
Gum Arabic;;D9.698.380
Gynecomastia;C19.146.404;C17.800.90.875
Hair Cells;A8.800.550.700.500.350;A8.800.550.700.500.600.350
Hair Cells, Inner;A8.800.550.700.500.350.350;A8.800.550.700.500.600.350.350
Hair Cells, Outer;A8.800.550.700.500.350.365;A8.800.550.700.500.600.350.365
Hair Cells, Vestibular;A8.800.550.700.500.350.380;A8.800.550.700.500.600.350.380
Harmaline;D3.132.410;D3.132.436.444
Harmaline;;D3.438.473.402.444
Harmine;D3.132.415;D3.132.436.477
Harmine;;D3.438.473.402.477
Hearing Disorders;C10.597.751.383;C10.597.751.418
Hearing Disorders;C23.888.592.763.309;C23.888.592.763.393
Hearing Loss;C10.597.751.383.300;C10.597.751.418.341
Hearing Loss;C23.888.592.763.309.300;C23.888.592.763.393.341
Hearing Loss, Bilateral;;C10.597.751.418.341.374
Hearing Loss, Bilateral;;C23.888.592.763.393.341.374
Hearing Loss, Central;C10.597.751.383.300.249;C10.597.751.418.341.887.432
Hearing Loss, Central;C23.888.592.763.309.300.249;C23.888.592.763.393.341.887.432
Hearing Loss, Conductive;;C10.597.751.418.341.562
Hearing Loss, Conductive;;C23.888.592.763.393.341.562
Hearing Loss, Functional;;C10.597.751.418.341.750
Hearing Loss, Functional;;C23.888.592.763.393.341.750
Hearing Loss, High-Frequency;;C10.597.751.418.341.812
Hearing Loss, High-Frequency;;C23.888.592.763.393.341.812
Hearing Loss, Noise-Induced;;C10.597.751.418.341.887.460
Hearing Loss, Noise-Induced;;C23.888.592.763.393.341.887.460
Hearing Loss, Sensorineural;;C10.597.751.418.341.887
Hearing Loss, Sensorineural;;C23.888.592.763.393.341.887
Hearing Loss, Sudden;;C10.597.751.418.341.900
Hearing Loss, Sudden;;C23.888.592.763.393.341.900
Helix-Loop-Helix Motifs;G6.184.580.709.600.40.360;G6.184.603.790.709.600.40.360
Helix-Turn-Helix Motifs;G6.184.580.709.600.40.360.360;G6.184.603.790.709.600.40.360.360
HELLP Syndrome;C13.703.799.314.309;C13.703.395.186
HELLP Syndrome;C13.703.799.314.619.500;
Hematoma, Epidural;;C23.550.414.838.349
Hematoma, Subdural;;C23.550.414.838.700
Hematoma, Subdural, Acute;C10.228.140.300.535.450.400.500;C10.228.140.300.535.450.400.50
Hematoma, Subdural, Acute;C14.907.253.573.400.450.500;C10.900.300.837.600.50
Hematoma, Subdural, Acute;C21.866.915.300.490.450.500;C14.907.253.573.400.450.50
Hematoma, Subdural, Acute;;C21.866.260.616.600.50
Hematoma, Subdural, Acute;;C21.866.915.300.490.450.50
Hematoma, Subdural, Acute;;C23.550.414.838.700.100
Hematoma, Subdural, Chronic;C10.228.140.300.535.450.400.750;C10.228.140.300.535.450.400.120
Hematoma, Subdural, Chronic;C10.900.300.837.600.700;C10.900.300.837.600.120
Hematoma, Subdural, Chronic;C14.907.253.573.400.450.750;C14.907.253.573.400.450.120
Hematoma, Subdural, Chronic;C21.866.260.616.600.700;C21.866.260.616.600.120
Hematoma, Subdural, Chronic;C21.866.915.300.490.450.750;C21.866.915.300.490.450.120
Hematoma, Subdural, Chronic;C23.550.414.913.700.300;C23.550.414.838.700.200
Hematoma, Subdural, Chronic;;C23.550.414.913.700.200
Hematoporphyrin Derivative;;D4.345.783.500.462.400
Hematoporphyrins;;D4.345.783.500.462
Heme;;D4.345.783.500.640.587
Heme Oxygenase (Decyclizing);D8.811.682.580.410;D8.811.682.690.708.410
Hemin;;D4.345.783.500.640.587.462
Hemoglobin A, Glycosylated;D9.203.408.375;D9.408.375
Heparan Sulfate Proteoglycan;D9.203.698.373.425.500;D9.698.373.425.500
Heparan Sulfate Proteoglycan;D9.203.698.735.400;D9.698.735.400
Heparin;D9.203.698.373.400;D9.698.373.400
